"filename", "language", "Python", "XML", "JSON", "comment", "blank", "total"
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage7f\account.py", "Python", 105, 0, 0, 2, 30, 137
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage7f\application.py", "Python", 112, 0, 0, 0, 34, 146
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage7f\board.py", "Python", 172, 0, 0, 2, 60, 234
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage7f\board_actions.py", "Python", 56, 0, 0, 0, 28, 84
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage7f\data_structures.py", "Python", 30, 0, 0, 0, 10, 40
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage7f\database.py", "Python", 240, 0, 0, 8, 46, 294
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage7f\difficulty_settings.py", "Python", 37, 0, 0, 6, 14, 57
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage7f\dlx.py", "Python", 77, 0, 0, 1, 13, 91
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage7f\game.py", "Python", 234, 0, 0, 2, 53, 289
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage7f\games\admin\sudoku_13-01-24_21-57-12.json", "JSON", 0, 0, 17, 0, 0, 17
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage7f\games\beta\sudoku_12-01-24_11-10-13.json", "JSON", 0, 0, 17, 0, 0, 17
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage7f\games\beta\sudoku_12-01-24_11-22-18.json", "JSON", 0, 0, 17, 0, 0, 17
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage7f\generator.py", "Python", 67, 0, 0, 3, 21, 91
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage7f\group_colouring.py", "Python", 45, 0, 0, 3, 9, 57
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage7f\gui.py", "Python", 964, 0, 0, 107, 271, 1342
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage7f\hex_to_dec.py", "Python", 8, 0, 0, 0, 2, 10
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage7f\pyqt_widgets.py", "Python", 309, 0, 0, 39, 74, 422
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage7f\rating_calc.py", "Python", 100, 0, 0, 10, 14, 124
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage7f\resources\account.svg", "XML", 0, 8, 0, 0, 1, 9
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage7f\resources\auto_note.svg", "XML", 0, 130, 0, 0, 1, 131
