"filename", "language", "Python", "comment", "blank", "total"
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage6b\database.py", "Python", 3, 0, 1, 4
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage6b\gui.py", "Python", 4, 0, 0, 4
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage6b\rating_calc.py", "Python", 91, 0, 2, 93
"Total", "-", 98, 0, 3, 101
