"filename", "language", "Python", "XML", "JSON", "comment", "blank", "total"
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage6d\account.py", "Python", -96, 0, 0, 0, -26, -122
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage6d\board.py", "Python", -199, 0, 0, -2, -63, -264
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage6d\board_actions.py", "Python", -56, 0, 0, 0, -27, -83
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage6d\database.py", "Python", -206, 0, 0, -57, -45, -308
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage6d\difficulty_settings.py", "Python", -39, 0, 0, 0, -12, -51
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage6d\dlx.py", "Python", -75, 0, 0, -4, -13, -92
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage6d\game.py", "Python", -228, 0, 0, -2, -53, -283
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage6d\game_generator.py", "Python", -27, 0, 0, 0, -9, -36
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage6d\generator.py", "Python", -64, 0, 0, -8, -23, -95
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage6d\gui.py", "Python", -1033, 0, 0, -1, -300, -1334
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage6d\hex_to_dec.py", "Python", -8, 0, 0, 0, -2, -10
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage6d\options.json", "JSON", 0, 0, -3, 0, 0, -3
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage6d\pyqt_widgets.py", "Python", -291, 0, 0, -5, -72, -368
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage6d\rating_calc.py", "Python", -140, 0, 0, -3, -14, -157
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage6d\resources\account.svg", "XML", 0, -8, 0, 0, -1, -9
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage6d\resources\auto_note.svg", "XML", 0, -130, 0, 0, -1, -131
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage6d\resources\back.svg", "XML", 0, -128, 0, 0, -1, -129
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage6d\resources\delete.svg", "XML", 0, -180, 0, 0, -1, -181
