"filename", "language", "Python", "XML", "JSON", "comment", "blank", "total"
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage6b\account.py", "Python", -87, 0, 0, 0, -24, -111
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage6b\board.py", "Python", -199, 0, 0, -2, -63, -264
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage6b\board_actions.py", "Python", -56, 0, 0, 0, -27, -83
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage6b\database.py", "Python", -138, 0, 0, -41, -33, -212
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage6b\difficulty_settings.py", "Python", -39, 0, 0, 0, -12, -51
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage6b\dlx.py", "Python", -75, 0, 0, -4, -13, -92
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage6b\game.py", "Python", -195, 0, 0, -2, -48, -245
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage6b\game_generator.py", "Python", -27, 0, 0, 0, -9, -36
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage6b\generator.py", "Python", -64, 0, 0, -8, -23, -95
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage6b\gui.py", "Python", -857, 0, 0, 0, -261, -1118
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage6b\hex_to_dec.py", "Python", -8, 0, 0, 0, -2, -10
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage6b\options.json", "JSON", 0, 0, -3, 0, 0, -3
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage6b\pyqt_widgets.py", "Python", -250, 0, 0, -5, -65, -320
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage6b\rating_calc.py", "Python", -140, 0, 0, -3, -14, -157
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage6b\resources\account.svg", "XML", 0, -8, 0, 0, -1, -9
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage6b\resources\back.svg", "XML", 0, -128, 0, 0, -1, -129
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage6b\resources\delete.svg", "XML", 0, -180, 0, 0, -1, -181
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage6b\resources\exit.svg", "XML", 0, -13, 0, 0, -1, -14
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage6b\resources\help.svg", "XML", 0, -145, 0, 0, -1, -146
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage6b\resources\hint.svg", "XML", 0, -90, 0, 0, -1, -91
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage6b\resources\info.svg", "XML", 0, -72, 0, 0, -1, -73
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage6b\resources\notes_off.svg", "XML", 0, -91, 0, 0, -1, -92
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage6b\resources\notes_on.svg", "XML", 0, -63, 0, 0, -1, -64
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage6b\resources\resign.svg", "XML", 0, -65, 0, 0, -1, -66
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage6b\resources\settings.svg", "XML", 0, -11, 0, 0, -1, -12
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage6b\resources\stats.svg", "XML", 0, -20, 0, 0, -1, -21
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage6b\resources\undo.svg", "XML", 0, -110, 0, 0, -1, -111
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage6b\solver.py", "Python", -57, 0, 0, -1, -17, -75
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage6b\stack.py", "Python", -17, 0, 0, 0, -4, -21
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage6b\sudoku.py", "Python", -20, 0, 0, -4, -7, -31
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage6b\terminal.py", "Python", -173, 0, 0, -2, -22, -197
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage6b\ui.py", "Python", -16, 0, 0, 0, -7, -23
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage6c\account.py", "Python", 87, 0, 0, 0, 24, 111
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage6c\board.py", "Python", 199, 0, 0, 2, 63, 264
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage6c\board_actions.py", "Python", 56, 0, 0, 0, 27, 83
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage6c\database.py", "Python", 154, 0, 0, 48, 35, 237
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage6c\difficulty_settings.py", "Python", 39, 0, 0, 0, 12, 51
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage6c\dlx.py", "Python", 75, 0, 0, 4, 13, 92
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage6c\game.py", "Python", 213, 0, 0, 2, 51, 266
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage6c\game_generator.py", "Python", 27, 0, 0, 0, 9, 36
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage6c\generator.py", "Python", 64, 0, 0, 8, 23, 95
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage6c\gui.py", "Python", 852, 0, 0, 0, 260, 1112
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage6c\hex_to_dec.py", "Python", 8, 0, 0, 0, 2, 10
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage6c\options.json", "JSON", 0, 0, 3, 0, 0, 3
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage6c\pyqt_widgets.py", "Python", 250, 0, 0, 5, 65, 320
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage6c\rating_calc.py", "Python", 140, 0, 0, 3, 14, 157
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage6c\resources\account.svg", "XML", 0, 8, 0, 0, 1, 9
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage6c\resources\auto_note.svg", "XML", 0, 130, 0, 0, 1, 131
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage6c\resources\back.svg", "XML", 0, 128, 0, 0, 1, 129
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage6c\resources\delete.svg", "XML", 0, 180, 0, 0, 1, 181
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage6c\resources\exit.svg", "XML", 0, 13, 0, 0, 1, 14
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage6c\resources\help.svg", "XML", 0, 145, 0, 0, 1, 146
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage6c\resources\hint.svg", "XML", 0, 90, 0, 0, 1, 91
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage6c\resources\info.svg", "XML", 0, 72, 0, 0, 1, 73
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage6c\resources\notes_off.svg", "XML", 0, 91, 0, 0, 1, 92
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage6c\resources\notes_on.svg", "XML", 0, 63, 0, 0, 1, 64
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage6c\resources\resign.svg", "XML", 0, 65, 0, 0, 1, 66
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage6c\resources\settings.svg", "XML", 0, 11, 0, 0, 1, 12
