"filename", "language", "Python", "comment", "blank", "total"
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage6b\database.py", "Python", 31, 4, 9, 44
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage6b\game.py", "Python", 9, 0, 1, 10
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage6b\gui.py", "Python", 35, 0, 7, 42
"Total", "-", 75, 4, 17, 96
