"filename", "language", "Python", "XML", "JSON", "comment", "blank", "total"
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Sudoku_v1_0_1\games\beta\sudoku_12-01-24_11-22-18.json", "JSON", 0, 0, 17, 0, 0, 17
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Sudoku_v1_0_1\generator.py", "Python", 67, 0, 0, 3, 21, 91
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Sudoku_v1_0_1\group_colouring.py", "Python", 45, 0, 0, 3, 9, 57
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Sudoku_v1_0_1\gui.py", "Python", 949, 0, 0, 105, 268, 1322
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Sudoku_v1_0_1\hex_to_dec.py", "Python", 8, 0, 0, 0, 2, 10
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Sudoku_v1_0_1\pyqt_widgets.py", "Python", 309, 0, 0, 39, 74, 422
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Sudoku_v1_0_1\rating_calc.py", "Python", 57, 0, 0, 4, 12, 73
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Sudoku_v1_0_1\resources\account.svg", "XML", 0, 8, 0, 0, 1, 9
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Sudoku_v1_0_1\resources\auto_note.svg", "XML", 0, 130, 0, 0, 1, 131
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Sudoku_v1_0_1\resources\back.svg", "XML", 0, 128, 0, 0, 1, 129
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Sudoku_v1_0_1\resources\delete.svg", "XML", 0, 180, 0, 0, 1, 181
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Sudoku_v1_0_1\resources\exit.svg", "XML", 0, 13, 0, 0, 1, 14
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Sudoku_v1_0_1\resources\help.svg", "XML", 0, 145, 0, 0, 1, 146
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Sudoku_v1_0_1\resources\hint.svg", "XML", 0, 90, 0, 0, 1, 91
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Sudoku_v1_0_1\resources\info.svg", "XML", 0, 72, 0, 0, 1, 73
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Sudoku_v1_0_1\resources\notes_off.svg", "XML", 0, 91, 0, 0, 1, 92
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Sudoku_v1_0_1\resources\notes_on.svg", "XML", 0, 63, 0, 0, 1, 64
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Sudoku_v1_0_1\resources\resign.svg", "XML", 0, 65, 0, 0, 1, 66
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Sudoku_v1_0_1\resources\settings.svg", "XML", 0, 11, 0, 0, 1, 12
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Sudoku_v1_0_1\resources\stats.svg", "XML", 0, 20, 0, 0, 1, 21
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Sudoku_v1_0_1\resources\undo.svg", "XML", 0, 110, 0, 0, 1, 111
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Sudoku_v1_0_1\solver.py", "Python", 57, 0, 0, 0, 18, 75
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Sudoku_v1_0_1\sudoku.py", "Python", 23, 0, 0, 0, 8, 31
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Sudoku_v1_0_1\terminal.py", "Python", 280, 0, 0, 7, 27, 314
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Sudoku_v1_0_1\ui.py", "Python", 18, 0, 0, 0, 7, 25
"Total", "-", -84, 0, 14, -38, -35, -143
